HomeTeamHomeForm,HomeTeamForm,HomeTeamSeasonWinPerc,AwayTeamAwayForm,AwayTeamForm,AwayTeamSeasonWinPerc,HomeElo,AwayElo,HomeGoals,AwayGoals
1.0,0.8,0.6666666666666666,1.0,0.6,0.8888888888888888,1669.52185059,1848.29797363,1,1
0.6666666666666666,0.4,0.2222222222222222,0.0,0.6,0.5,1589.88220215,1697.75085449,1,2
0.3333333333333333,0.2,0.3333333333333333,0.0,0.2,0.3,1620.70373535,1636.19592285,0,0
0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.2,0.3,1575.15319824,1696.10253906,0,1
0.3333333333333333,0.6,0.4,0.0,0.4,0.125,1629.84680176,1628.17053223,3,2
0.3333333333333333,0.4,0.5,0.6666666666666666,0.6,0.2222222222222222,1724.62158203,1691.67736816,1,0
0.3333333333333333,0.2,0.2857142857142857,0.3333333333333333,0.6,0.3,1722.02270508,1715.69018555,2,1
1.0,0.8,0.5,0.0,0.2,0.2,1704.94750977,1633.3996582,2,0
0.6666666666666666,0.2,0.4,0.0,0.4,0.2,1622.09375,1582.68554688,1,1
0.3333333333333333,0.2,0.4444444444444444,0.6666666666666666,0.6,0.3333333333333333,1638.1361084,1672.19030762,0,2
0.3333333333333333,0.4,0.3,0.3333333333333333,0.4,0.5,1608.97595215,1727.83178711,2,1
1.0,0.6,0.7777777777777778,0.3333333333333333,0.4,0.3333333333333333,1709.88110352,1730.00109863,2,1
0.6666666666666666,0.6,0.3,0.6666666666666666,0.6,0.3333333333333333,1686.29797363,1635.92358398,5,0
0.3333333333333333,0.2,0.1,0.3333333333333333,0.2,0.1,1507.83422852,1568.35241699,2,1
0.0,0.2,0.3333333333333333,0.0,0.4,0.25,1670.19628906,1685.40319824,3,3
0.3333333333333333,0.2,0.3333333333333333,0.0,0.2,0.0,1653.41625977,1618.76367188,2,0
0.3333333333333333,0.4,0.7,0.3333333333333333,0.0,0.4,1845.6295166,1699.07519531,3,1
0.6666666666666666,0.6,0.6,0.3333333333333333,0.8,0.2727272727272727,1684.84680176,1716.48962402,1,1
